name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,brand,model,is_luxury,car_age,is_old,km_per_year,is_high_km,price_per_km,price_per_year
Hyundai Verna 1.6 SX,2012.0,600000.0,100000.0,Diesel,Individual,Manual,First Owner,Hyundai,Verna 1.6 SX,0,13.0,1,7692.307692307692,1,6.0,46153.846153846156
Datsun RediGO T Option,2017.0,250000.0,46000.0,Petrol,Individual,Manual,First Owner,Datsun,RediGO T Option,0,8.0,0,5750.0,0,5.434782608695652,31250.0
Honda Amaze VX i-DTEC,2014.0,450000.0,141000.0,Diesel,Individual,Manual,Second Owner,Honda,Amaze VX i-DTEC,0,11.0,1,12818.181818181818,1,3.1914893617021276,40909.09090909091
Maruti Alto LX BSIII,2007.0,140000.0,60000.0,Petrol,Individual,Manual,First Owner,Maruti,Alto LX BSIII,0,18.0,1,3333.3333333333335,0,2.3333333333333335,7777.777777777777
Maruti Swift Dzire VDI,2016.0,550000.0,60000.0,Petrol,Individual,Manual,First Owner,Maruti,Swift Dzire VDI,0,9.0,0,6666.666666666667,0,9.166666666666666,61111.11111111111
Tata Indigo Grand Petrol,2014.0,240000.0,60000.0,Petrol,Individual,Manual,Second Owner,Tata,Indigo Grand Petrol,0,11.0,1,5454.545454545455,0,4.0,21818.18181818182
Hyundai Creta 1.6 VTVT S,2015.0,850000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai,Creta 1.6 VTVT S,0,10.0,0,2500.0,0,34.0,85000.0
Maruti Celerio Green VXI,2017.0,365000.0,78000.0,CNG,Individual,Manual,First Owner,Maruti,Celerio Green VXI,0,8.0,0,9750.0,1,4.67948717948718,45625.0
Maruti Swift Dzire VDI,2015.0,260000.0,35000.0,Petrol,Individual,Manual,First Owner,Maruti,Swift Dzire VDI,0,10.0,0,3500.0,0,7.428571428571429,26000.0
Tata Indigo Grand Petrol,2014.0,250000.0,100000.0,Petrol,Individual,Manual,First Owner,Tata,Indigo Grand Petrol,0,11.0,1,9090.90909090909,1,2.5,22727.272727272728
Toyota Corolla Altis 1.8 VL CVT,2018.0,1650000.0,25000.0,Diesel,Dealer,Automatic,First Owner,Toyota,Corolla Altis 1.8 VL CVT,0,7.0,0,3571.4285714285716,0,66.0,235714.2857142857
Maruti Wagon R LXI Minor,2007.0,135000.0,60000.0,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LXI Minor,0,18.0,1,3333.3333333333335,0,2.25,7500.0
Maruti Alto LX BSIII,2007.0,140000.0,125000.0,Petrol,Individual,Manual,First Owner,Maruti,Alto LX BSIII,0,18.0,1,6944.444444444444,1,1.12,7777.777777777777
Hyundai Xcent 1.2 Kappa S,2016.0,550000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai,Xcent 1.2 Kappa S,0,9.0,0,2777.777777777778,0,22.0,61111.11111111111
Chevrolet Sail 1.2 Base,2015.0,260000.0,35000.0,Petrol,Individual,Manual,First Owner,Chevrolet,Sail 1.2 Base,0,10.0,0,3500.0,0,7.428571428571429,26000.0
Toyota Corolla Altis 1.8 VL CVT,2018.0,1650000.0,25000.0,Petrol,Dealer,Automatic,First Owner,Toyota,Corolla Altis 1.8 VL CVT,0,7.0,0,3571.4285714285716,0,66.0,235714.2857142857
Maruti Ciaz VXi Plus,2015.0,585000.0,24000.0,Petrol,Dealer,Manual,First Owner,Maruti,Ciaz VXi Plus,0,10.0,0,2400.0,0,24.375,58500.0
Hyundai Venue SX Opt Diesel,2019.0,1195000.0,5000.0,Diesel,Dealer,Manual,First Owner,Hyundai,Venue SX Opt Diesel,0,6.0,0,833.3333333333334,0,239.0,199166.66666666666
Maruti Swift Dzire VDI,2014.0,1964999.0,28000.0,Diesel,Individual,Automatic,First Owner,Maruti,Swift Dzire VDI,0,11.0,1,2545.4545454545455,0,70.17853571428572,178636.27272727274
Mercedes-Benz New C-Class 220 CDI AT,2013.0,1425000.0,59000.0,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz,New C-Class 220 CDI AT,0,12.0,1,4916.666666666667,0,24.152542372881356,118750.0
Maruti Vitara Brezza ZDi Plus AMT,2018.0,975000.0,4500.0,Diesel,Dealer,Automatic,First Owner,Maruti,Vitara Brezza ZDi Plus AMT,0,7.0,0,642.8571428571429,0,216.66666666666666,139285.7142857143
Honda City V MT,2018.0,930000.0,14500.0,Petrol,Dealer,Manual,First Owner,Honda,City V MT,0,7.0,0,2071.4285714285716,0,64.13793103448276,132857.14285714287
Tata Tigor 1.2 Revotron XT,2018.0,525000.0,60000.0,Petrol,Individual,Manual,First Owner,Tata,Tigor 1.2 Revotron XT,0,7.0,0,8571.42857142857,0,8.75,75000.0
Audi A6 2.0 TDI  Design Edition,2013.0,1735000.0,50000.0,Diesel,Dealer,Automatic,First Owner,Audi,A6 2.0 TDI Design Edition,1,12.0,1,4166.666666666667,0,34.7,144583.33333333334
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012.0,1375000.0,33800.0,Diesel,Dealer,Automatic,Second Owner,Mercedes-Benz,New C-Class C 220 CDI Avantgarde,0,13.0,1,2600.0,0,40.680473372781066,105769.23076923077
Skoda Superb Ambition 2.0 TDI CR AT,2011.0,450000.0,60000.0,Diesel,Dealer,Manual,Second Owner,Skoda,Superb Ambition 2.0 TDI CR AT,0,14.0,1,4285.714285714285,0,7.5,32142.85714285714
Toyota Corolla Altis G AT,2016.0,900000.0,50000.0,Petrol,Individual,Automatic,First Owner,Toyota,Corolla Altis G AT,0,9.0,0,5555.555555555556,0,18.0,100000.0
Toyota Innova 2.5 G (Diesel) 7 Seater,2015.0,1300000.0,80000.0,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 G (Diesel) 7 Seater,0,10.0,0,8000.0,1,16.25,130000.0
Mercedes-Benz E-Class E 200 CGI Elegance,2010.0,850000.0,119000.0,Petrol,Dealer,Manual,First Owner,Mercedes-Benz,E-Class E 200 CGI Elegance,0,15.0,1,7933.333333333333,1,7.142857142857143,56666.666666666664
Maruti Swift Dzire VDI,2014.0,229999.0,60000.0,Diesel,Individual,Manual,Fourth & Above Owner,Maruti,Swift Dzire VDI,0,11.0,1,5454.545454545455,0,3.8333166666666667,20909.0
BMW 3 Series 320d Sport Line,2013.0,1550000.0,75800.0,Diesel,Dealer,Automatic,Second Owner,BMW,3 Series 320d Sport Line,1,12.0,1,6316.666666666667,1,20.448548812664907,129166.66666666667
Audi Q7 35 TDI Quattro Premium,2009.0,1250000.0,78000.0,Diesel,Dealer,Automatic,Third Owner,Audi,Q7 35 TDI Quattro Premium,1,16.0,1,4875.0,1,16.025641025641026,78125.0
Hyundai Elantra CRDi S,2012.0,625000.0,40000.0,Diesel,Individual,Manual,First Owner,Hyundai,Elantra CRDi S,0,13.0,1,3076.923076923077,0,15.625,48076.92307692308
Mahindra Scorpio 1.99 S10,2014.0,1050000.0,50000.0,Diesel,Individual,Manual,First Owner,Mahindra,Scorpio 1.99 S10,0,11.0,1,4545.454545454545,0,21.0,95454.54545454546
Maruti Wagon R VXI BS IV with ABS,2014.0,290000.0,64000.0,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI BS IV with ABS,0,11.0,1,5818.181818181818,1,4.53125,26363.636363636364
Mahindra Scorpio LX,2009.0,411000.0,120000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Scorpio LX,0,16.0,1,7500.0,1,3.425,25687.5
Hyundai Santro Xing GLS,2009.0,150000.0,79000.0,Petrol,Individual,Manual,Third Owner,Hyundai,Santro Xing GLS,0,16.0,1,4937.5,1,1.8987341772151898,9375.0
